koordinat_y,periode_data,wilayah,kecamatan,kelurahan,nama_halte,lokasi,koordinat_x
106.774151,2024,Kota Adm. Jakarta Selatan,Cilandak,Cilandak,Lebak Bulus,Jalan Raya Pasar Jumat,-6.289413
106.825717,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,Mampang Prapatan,Jalan Mampang Prapatan Raya,-6.242699
106.825968,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Mangga Dua,Jalan Mangga Dua Raya,-6.136148
106.847391,2024,Kota Adm. Jakarta Selatan,Setiabudi,Menteng,Manggarai,Jalan Sultan Agung,-6.20888
106.820031,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Karet,Jalan Jenderal Sudirman,-6.212457
106.854429,2024,Kota Adm. Jakarta Timur,Matraman,Matraman,Matraman,Jalan Matraman,-6.19998
106.854496,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Flyover Pramuka,Flyover Pramuka Matraman,-6.19891
106.790767,2024,Kota Adm. Jakarta Selatan,Kebayoran Baru,Kebayoran Baru,Mayestik,Jalan Kyai Maja,-6.241921
106.822225,2024,Kota Adm. Jakarta Pusat,Tanah Abang,Tanah Abang,Dukuh Atas,Jalan Jenderal Sudirman,-6.205702
106.812088,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Museum Sejarah Jakarta,Jalan Kunir,-6.13393
106.823092,2024,Kota Adm. Jakarta Pusat,Menteng,Menteng,Tosari,Jalan Jenderal Sudirman,-6.196892
106.831637,2024,Kota Adm. Jakarta Utara,Pademangan,Pademangan,Pademangan,Jalan Gunung Sahari Raya,-6.133704
106.804743,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Pakin,Jalan Gedong Panjang,-6.127982
106.844024,2024,Kota Adm. Jakarta Pusat,Senen,Senen,Pal Putih,Jalan Kramat Raya,-6.184631
